Base Price;;Name;Supplier;Image URL
8.96;;Planimetria i geometria analityczna. Jak zdać maturę z matematyki? Kurs video. Poziom podstawowy;Denis Aleksa;https://static01.helion.com.pl/global/okladki/145x218/vjakpp.png
8.96;;Prawdopodobieństwo i statystyka. Jak zdać maturę z matematyki? Kurs video. Poziom podstawowy;Denis Aleksa;https://static01.helion.com.pl/global/okladki/145x218/vjakps.png
26.55;;Java. Kurs video. Poziom drugi. Programowanie funkcyjne i współbieżne;Michał Szczepanik;https://static01.helion.com.pl/global/okladki/145x218/vjavse.png
22.05;;Docker. Kurs video. Poziom drugi. Sieci, wolumeny i ustawienia daemona;Adam Raźniewski;https://static01.helion.com.pl/global/okladki/145x218/vdock2.png
26.55;;Tworzenie motywów WordPress. Kurs video dla zaawansowanych. Od prostej strony po katalog produktów;Wojciech Bielak;https://static01.helion.com.pl/global/okladki/145x218/vwopr2.png
44.55;;CSS i SASS. Kurs video. Praktyczny projekt nowoczesnego dashboardu;Michał Grząśko;https://static01.helion.com.pl/global/okladki/145x218/vcsssa.png
26.55;;Android. Techniki efektywnej pracy. Kurs video. Poziom pierwszy. Skróty klawiszowe i biblioteki;Dawid Firuzek;https://static01.helion.com.pl/global/okladki/145x218/vsband.png
26.55;;Java 8. Programowanie obiektowe. Kurs video. Poziom pierwszy;Michał Szczepanik;https://static01.helion.com.pl/global/okladki/145x218/vjav81.png
15.71;;Machine learning i język R. Kurs video. Pierwsze kroki z pakietem mlr;Mateusz Staniak;https://static01.helion.com.pl/global/okladki/145x218/vuczma.png
31.05;;Szachy w godzinę. Kurs video. Od zera do pierwszej partii szachów;Michał Kanarkiewicz;https://static01.helion.com.pl/global/okladki/145x218/vszach.png
26.55;;Technologia LINQ. Kurs video. Warsztat pracy z danymi z różnych źródeł;Przemysław Starosta;https://static01.helion.com.pl/global/okladki/145x218/vlinqk.png
31.05;;Programowanie w PostgreSQL. Kurs video. Analiza danych;Przemysław Starosta;https://static01.helion.com.pl/global/okladki/145x218/vpsqla.png
44.55;;Jak lepiej pisać po angielsku. Kurs video. Teksty formalne, urzędowe i techniczne;Rafał Tondera;https://static01.helion.com.pl/global/okladki/145x218/vtwtf.png
31.05;;RESTful Web Services. Kurs video. Tworzenie restowych aplikacji internetowych w Spring, AngularJS;Łukasz Ogan;https://static01.helion.com.pl/global/okladki/145x218/vresws.png
71.55;;Java. Kurs video. Zaawansowane elementy języka;Arkadiusz Wrzos;https://static01.helion.com.pl/global/okladki/145x218/vjavza.png
44.55;;Raspberry Pi. Kurs video. Praktyczne zastosowanie popularnej maliny;Łukasz Kaźmierczak;https://static01.helion.com.pl/global/okladki/145x218/praspi.png
58.05;;Frontend developer. Kurs video. React. Poziom podstawowy;Radosław Madecki;https://static01.helion.com.pl/global/okladki/145x218/vfrode.png
35.55;;Vue.js. Kurs video. Tworzenie zaawansowanych aplikacji webowych;Piotr Łużecki;https://static01.helion.com.pl/global/okladki/145x218/vvuekv.png
22.05;;jQuery. Kurs video. Poziom pierwszy. Interaktywne interfejsy internetowe;Paweł Bensel;https://static01.helion.com.pl/global/okladki/145x218/jque1v.png
19.60;;Excel 2013. Kurs video. Poziom pierwszy. Kluczowe umiejętności i najlepsze praktyki;Bartosz Danowski;https://static01.helion.com.pl/global/okladki/145x218/ex131v.png
22.05;;Unity. Kurs video. Poziom pierwszy. Tworzenie gier komputerowych 3D;Arkadiusz Brzegowy;https://static01.helion.com.pl/global/okladki/145x218/uni3dp.png
26.55;;CorelDRAW X7. Kurs video. Poziom pierwszy. Techniki i narzędzia pracy grafika komputerowego;Monika Popiołkiewicz;https://static01.helion.com.pl/global/okladki/145x218/vcdx71.png
