Base Price,Price Tax Included,Name,Supplier,Image URL,Url
58.05,1,SQL. Kurs video. Od zera do bohatera. Modyfikowanie danych,Marcin Szeliga,https://static01.helion.com.pl/global/okladki/145x218/vsqlo2.png,"https://helion.pl/ksiazki/sql-kurs-video-od-zera-do-bohatera-modyfikowanie-danych-marcin-szeliga,vsqlo2.htm#format/w"
22.05,1,Linux. Kurs video. Komendy i polecenia,Daniel Deres,https://static01.helion.com.pl/global/okladki/145x218/vlinkp.png,"https://helion.pl/ksiazki/linux-kurs-video-komendy-i-polecenia-daniel-deres,vlinkp.htm#format/w"
67.60,1,Excel 2019 VBA. Kurs video. Opanuj podstawy i przećwicz je na 50 praktycznych przykładach,Daniel Brzózka,https://static01.helion.com.pl/global/okladki/145x218/vexpod.png,"https://helion.pl/ksiazki/excel-2019-vba-kurs-video-opanuj-podstawy-i-przecwicz-je-na-50-praktycznych-przykladach-daniel-brzozka,vexpod.htm#format/w"
51.60,1,Przetwarzanie danych w Excelu. Kurs video. Laboratorium Power Query,Marcin Cichocki,https://static01.helion.com.pl/global/okladki/145x218/vprzex.png,"https://helion.pl/ksiazki/przetwarzanie-danych-w-excelu-kurs-video-laboratorium-power-query-marcin-cichocki,vprzex.htm#format/w"
49.50,1,Automatyzacja zadań w Pythonie. Kurs video,Karol Kurek,https://static01.helion.com.pl/global/okladki/145x218/vautpr.png,"https://helion.pl/ksiazki/automatyzacja-zadan-w-pythonie-kurs-video-karol-kurek,vautpr.htm#format/w"
23.60,1,Excel 2013 i programowanie VBA. Kurs video. Poziom pierwszy. Tworzenie makr dla arkusza kalkulacyjnego,Jarosław Baca,https://static01.helion.com.pl/global/okladki/145x218/ve13v1.png,"https://helion.pl/ksiazki/excel-2013-i-programowanie-vba-kurs-video-poziom-pierwszy-tworzenie-makr-dla-arkusza-kalkulacyjneg-jaroslaw-baca,ve13v1.htm#format/w"
26.55,1,Od zera do frontend developera. Kurs video. Tworzenie stron w oparciu o HTML5 i CSS3,Michał Segieta,https://static01.helion.com.pl/global/okladki/145x218/vtwsin.png,"https://helion.pl/ksiazki/od-zera-do-frontend-developera-kurs-video-tworzenie-stron-w-oparciu-o-html5-i-css3-michal-segieta,vtwsin.htm#format/w"
58.05,1,Programowanie z GO. Kurs video. Podstawy języka,Tomasz Kaniecki,https://static01.helion.com.pl/global/okladki/145x218/vjezgo.png,"https://helion.pl/ksiazki/programowanie-z-go-kurs-video-podstawy-jezyka-tomasz-kaniecki,vjezgo.htm#format/w"
58.05,1,React Redux. Kurs video. Praktyczny przewodnik,Paweł Zagrobelny,https://static01.helion.com.pl/global/okladki/145x218/vredux.png,"https://helion.pl/ksiazki/react-redux-kurs-video-praktyczny-przewodnik-pawel-zagrobelny,vredux.htm#format/w"
44.50,1,Frontend Developer. Kurs video. Testowanie kodu w JavaScript,Radosław Madecki,https://static01.helion.com.pl/global/okladki/145x218/vfrdev.png,"https://helion.pl/ksiazki/frontend-developer-kurs-video-testowanie-kodu-w-javascript-radoslaw-madecki,vfrdev.htm#format/w"
